08-19 23:07:25.659   640 21621 I mtkpower_client: perf_lock_rel, hdl:141859, tid:21621
08-19 23:07:25.780   640 21628 I mtkpower_client: perf_lock_rel, hdl:141861, tid:21628
08-19 23:07:26.129   640 21627 I mtkpower_client: perf_lock_rel, hdl:141860, tid:21627
08-20 01:13:28.408  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31571(1376KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8750KB/14MB, paused 111us total 139.334ms
08-20 01:13:37.615  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31491(1373KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8750KB/14MB, paused 113us total 139.508ms
08-20 01:13:46.765  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31440(1390KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8749KB/14MB, paused 123us total 139.596ms
08-20 01:13:55.933  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31362(1369KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8752KB/14MB, paused 113us total 138.684ms
08-20 01:14:05.119  2162  2199 I .gms.persisten: Background concurrent copying GC freed 32203(1529KB) AllocSpace objects, 90(4680KB) LOS objects, 41% free, 8767KB/14MB, paused 117us total 139.789ms
08-20 01:14:14.394  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31694(1384KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8756KB/14MB, paused 124us total 139.270ms
08-20 01:14:23.722  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31495(1402KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8758KB/14MB, paused 125us total 139.389ms
08-20 01:14:33.111  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31492(1405KB) AllocSpace objects, 94(4888KB) LOS objects, 41% free, 8757KB/14MB, paused 115us total 139.660ms
08-20 01:14:42.458  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31448(1374KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8756KB/14MB, paused 221us total 140.800ms
08-20 01:14:51.828  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31503(1387KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8754KB/14MB, paused 118us total 139.927ms
08-20 01:15:01.136  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31450(1373KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8753KB/14MB, paused 113us total 139.771ms
08-20 01:15:10.523  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31346(1369KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8757KB/14MB, paused 114us total 140.241ms
08-20 01:15:19.931  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31584(1392KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8754KB/14MB, paused 121us total 139.201ms
08-20 01:15:29.420  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31506(1390KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8752KB/14MB, paused 112us total 139.128ms
08-20 01:15:38.988  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31464(1373KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8751KB/14MB, paused 113us total 139.749ms
